id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,iso_region,municipality,scheduled_service,gps_code,iata_code,local_code,year_built,year_tier,Closed,home_link,wikipedia_link,keywords,score
26555,VIDP,large_airport,Indira Gandhi International Airport,28.5665,77.103104,777,IN-DL,New Delhi,1,VIDP,DEL,,1930,1950,n,http://www.newdelhiairport.in/,http://en.wikipedia.org/wiki/Indira_Gandhi_International_Airport,Palam Air Force Station,51475
26434,VABB,large_airport,Chhatrapati Shivaji International Airport,19.08869934,72.86789703,39,IN-MM,Mumbai,1,VABB,BOM,,1942,1950,n,http://www.csia.in/,http://en.wikipedia.org/wiki/Chhatrapati_Shivaji_International_Airport,"Bombay, Sahar International Airport",1014475
26618,VOMM,large_airport,Chennai International Airport,12.99000549,80.16929626,52,IN-TN,Chennai,1,VOMM,MAA,,1910,1950,n,,http://en.wikipedia.org/wiki/Chennai_International_Airport,,51150
35145,VOBL,large_airport,Kempegowda International Airport,13.1979,77.706299,3000,IN-KA,Bangalore,1,VOBL,BLR,,2008,2010,n,http://www.bengaluruairport.com/home/home.jspx,https://en.wikipedia.org/wiki/Kempegowda_International_Airport,,51200
26444,VAGO,large_airport,Goa International Airport,15.38080025,73.83139801,150,IN-GA,Vasco da Gama,1,VOGO,GOI,,1955,1955,n,,http://en.wikipedia.org/wiki/Dabolim_Airport,"Goa Airport, Dabolim Navy Airbase, ________隷怄____鈩 __礯_廮_宊____蝊_____",875
26609,VOCI,large_airport,Cochin International Airport,10.152,76.401901,30,IN-KL,Kochi,1,VOCI,COK,,1999,2000,n,http://www.cochin-airport.com/,http://en.wikipedia.org/wiki/Cochin_International_Airport,Cochin,1000
26496,VECC,large_airport,Netaji Subhash Chandra Bose International Airport,22.65469933,88.44670105,16,IN-WB,Kolkata,1,VECC,CCU,,1929,1950,n,,http://en.wikipedia.org/wiki/Netaji_Subhash_Chandra_Bose_International_Airport,"Calcutta, Kolkatta, Dum Dum Air Force Station",1200
35141,VOHS,large_airport,Rajiv Gandhi International Airport,17.23131752,78.42985535,2024,IN-TG,Hyderabad,1,VOHS,HYD,,2008,2010,n,http://www.shamshabadairport.com/,http://en.wikipedia.org/wiki/Rajiv_Gandhi_International_Airport,"Shamshabad, Hyderabad",1200
26629,VOTV,large_airport,Trivandrum International Airport,8.48211956,76.92009735,15,IN-KL,Thiruvananthapuram,1,VOTV,TRV,,1932,1950,n,,http://en.wikipedia.org/wiki/Trivandrum_International_Airport,"Thiruvananthapuram International Airport, Trivandrum Air Force Station",1050
26563,VIJP,medium_airport,Jaipur International Airport,26.82419968,75.81220245,1263,IN-RJ,Jaipur,1,VIJP,JAI,,n/a,#N/A,n,http://aai.aero/allAirports/jaipur_generalinfo.jsp,http://en.wikipedia.org/wiki/Jaipur_Airport,,1050
26603,VOBG,medium_airport,HAL Airport,12.94999981,77.66819763,2912,IN-KA,Bangalore,1,VOBG,,,1940,1950,n,,http://en.wikipedia.org/wiki/HAL_Bangalore_International_Airport,"Bengaluru, Hindustan Airport, HAL Airport, Hindustan Aeronautics",1050
26431,VAAH,medium_airport,Sardar Vallabhbhai Patel International Airport,23.07719994,72.63469696,189,IN-GJ,Ahmedabad,1,VAAH,AMD,,1937,1950,n,,http://en.wikipedia.org/wiki/Sardar_Vallabhbhai_Patel_International_Airport,Gandhinagar Air Force Station,1050
26455,VAPO,medium_airport,Pune International Airport,18.58209991,73.91970062,1942,IN-MM,Pune,1,VAPO,PNQ,,1939,1950,n,,http://en.wikipedia.org/wiki/Pune_Airport,"Lohegaon Airport, Lohegaon Air Force Station",800
26540,VIAR,large_airport,Sri Guru Ram Dass Jee International Airport,31.70960045,74.79730225,756,IN-PB,Amritsar,1,VIAR,ATQ,,2006,2010,n,http://www.aai.aero/allAirports/amritsar_generalinfo.jsp,http://en.wikipedia.org/wiki/Sri_Guru_Ram_Dass_Jee_International_Airport,Amritsar Air Force Station,1050
26617,VOML,medium_airport,Mangalore International Airport,12.9612999,74.89009857,337,IN-KA,Mangalore,1,VOML,IXE,,1951,1955,n,,http://en.wikipedia.org/wiki/Mangalore_International_Airport,Bajpe Airport,1025
26438,VABO,medium_airport,Vadodara Airport,22.33620071,73.2263031,129,IN-GJ,Vadodara,1,VABO,BDQ,,n/a,#N/A,n,http://aai.aero/allAirports/vadodara_generalinfo.jsp,http://en.wikipedia.org/wiki/Vadodara_Airport,Civil Airport Harni,1000
